Name,State,Term,Party
"McCLENACHAN, Blair",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"McDOWELL, Joseph",North Carolina,5th Congress (1797-1799),Democrat-Republican
"CABELL, Samuel Jordan",Virginia,5th Congress (1797-1799),Democrat-Republican
"LOCKE, Matthew",North Carolina,5th Congress (1797-1799),Democrat-Republican
"BENTON, Lemuel",South Carolina,5th Congress (1797-1799),Democrat-Republican
"BARD, David",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"MACON, Nathaniel",North Carolina,5th Congress (1797-1799),Democrat-Republican
"BLOUNT, Thomas",North Carolina,5th Congress (1797-1799),Democrat-Republican
"EGGLESTON, Joseph",Virginia,5th Congress (1797-1799),Democrat-Republican
"CLAY, Matthew",Virginia,5th Congress (1797-1799),Democrat-Republican
"CLOPTON, John",Virginia,5th Congress (1797-1799),Democrat-Republican
"BROWN, Robert",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"VENABLE, Abraham Bedford",Virginia,5th Congress (1797-1799),Democrat-Republican
"NEW, Anthony",Virginia,5th Congress (1797-1799),Democrat-Republican
"BRENT, Richard",Virginia,5th Congress (1797-1799),Democrat-Republican
"ELMENDORF, Lucas Conrad",New York,5th Congress (1797-1799),Democrat-Republican
"TRIGG, Abram",Virginia,5th Congress (1797-1799),Democrat-Republican
"BALDWIN, Abraham",Georgia,5th Congress (1797-1799),Democrat-Republican
"BRYAN, Nathan",North Carolina,5th Congress (1797-1799),Democrat-Republican
"STANFORD, Richard",North Carolina,5th Congress (1797-1799),Democrat-Republican
"HAVENS, Jonathan Nicoll",New York,5th Congress (1797-1799),Democrat-Republican
"HOLMES, David",Virginia,5th Congress (1797-1799),Democrat-Republican
"DAWSON, John",Virginia,5th Congress (1797-1799),Democrat-Republican
"GALLATIN, Albert",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"CLAIBORNE, Thomas",Virginia,5th Congress (1797-1799),Democrat-Republican
"JONES, Walter",Virginia,5th Congress (1797-1799),Democrat-Republican
"GILLESPIE, James",North Carolina,5th Congress (1797-1799),Democrat-Republican
"TRIGG, John Johns",Virginia,5th Congress (1797-1799),Democrat-Republican
"NICHOLAS, John",Virginia,5th Congress (1797-1799),Democrat-Republican
"VARNUM, Joseph Bradley",Massachusetts,5th Congress (1797-1799),Democrat-Republican
"BURGES, Dempsey",North Carolina,5th Congress (1797-1799),Democrat-Republican
"HARRISON, Carter Bassett",Virginia,5th Congress (1797-1799),Democrat-Republican
"SKINNER, Thomson Joseph",Massachusetts,5th Congress (1797-1799),Democrat-Republican
"FOWLER, John",Kentucky,5th Congress (1797-1799),Democrat-Republican
"HIESTER, Joseph",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"FINDLEY, William",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"GREGG, Andrew",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"WILLIAMS, Robert",North Carolina,5th Congress (1797-1799),Democrat-Republican
"SPRIGG, Richard, Jr.",Maryland,5th Congress (1797-1799),Democrat-Republican
"MILLEDGE, John",Georgia,5th Congress (1797-1799),Democrat-Republican
"LIVINGSTON, Edward",New York,5th Congress (1797-1799),Democrat-Republican
"CLAIBORNE, William Charles Cole",Tennessee,5th Congress (1797-1799),Democrat-Republican
"HANNA, John Andre",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"GILES, William Branch",Virginia,5th Congress (1797-1799),Democrat-Republican
"SMITH, William",South Carolina,5th Congress (1797-1799),Democrat-Republican
"SWANWICK, John",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
"SMITH, Samuel",Maryland,5th Congress (1797-1799),Democrat-Republican
"VAN CORTLANDT, Philip",New York,5th Congress (1797-1799),Democrat-Republican
"DAVIS, Thomas Terry",Kentucky,5th Congress (1797-1799),Democrat-Republican
"LYON, Matthew",Vermont,5th Congress (1797-1799),Democrat-Republican
"PARKER, Josiah",Virginia,5th Congress (1797-1799),Federalist
"SPAIGHT, Richard Dobbs",North Carolina,5th Congress (1797-1799),Democrat-Republican
"FREEMAN, Nathaniel, Jr.",Massachusetts,5th Congress (1797-1799),Democrat-Republican
"DENT, George",Maryland,5th Congress (1797-1799),Federalist
"GROVE, William Barry",North Carolina,5th Congress (1797-1799),Federalist
"TILLINGHAST, Thomas",Rhode Island,5th Congress (1797-1799),Federalist
"BULLOCK, Stephen",Massachusetts,5th Congress (1797-1799),Federalist
"CHAPMAN, John",Pennsylvania,5th Congress (1797-1799),Federalist
"SPRAGUE, Peleg",New Hampshire,5th Congress (1797-1799),Federalist
"MATTHEWS, William",Maryland,5th Congress (1797-1799),Federalist
"MACHIR, James",Virginia,5th Congress (1797-1799),Federalist
"SMITH, Jeremiah",New Hampshire,5th Congress (1797-1799),Federalist
"HARTLEY, Thomas",Pennsylvania,5th Congress (1797-1799),Federalist
"WILLIAMS, John",New York,5th Congress (1797-1799),Federalist
"EGE, George",Pennsylvania,5th Congress (1797-1799),Federalist
"HARPER, Robert Goodloe",South Carolina,5th Congress (1797-1799),Federalist
"SMITH, William Loughton",South Carolina,5th Congress (1797-1799),Federalist
"DAYTON, Jonathan",New Jersey,5th Congress (1797-1799),Federalist
"COIT, Joshua",Connecticut,5th Congress (1797-1799),Federalist
"BAER, George, Jr.",Maryland,5th Congress (1797-1799),Federalist
"REED, John",Massachusetts,5th Congress (1797-1799),Federalist
"EVANS, Thomas",Virginia,5th Congress (1797-1799),Federalist
"POTTER, Elisha Reynolds",Rhode Island,5th Congress (1797-1799),Federalist
"MORGAN, Daniel",Virginia,5th Congress (1797-1799),Federalist
"BARTLETT, Bailey",Massachusetts,5th Congress (1797-1799),Federalist
"DENNIS, John",Maryland,5th Congress (1797-1799),Federalist
"THOMSON, Mark",New Jersey,5th Congress (1797-1799),Federalist
"THOMAS, Richard",Pennsylvania,5th Congress (1797-1799),Federalist
"KITTERA, John Wilkes",Pennsylvania,5th Congress (1797-1799),Federalist
"SINNICKSON, Thomas",New Jersey,5th Congress (1797-1799),Federalist
"FREEMAN, Jonathan",New Hampshire,5th Congress (1797-1799),Federalist
"BRACE, Jonathan",Connecticut,5th Congress (1797-1799),Federalist
"PINCKNEY, Thomas",South Carolina,5th Congress (1797-1799),Federalist
"BAYARD, James Asheton, Sr.",Delaware,5th Congress (1797-1799),Federalist
"SCHUREMAN, James",New Jersey,5th Congress (1797-1799),Federalist
"LYMAN, Samuel",Massachusetts,5th Congress (1797-1799),Federalist
"SHEPARD, William",Massachusetts,5th Congress (1797-1799),Federalist
"CRAIK, William",Maryland,5th Congress (1797-1799),Federalist
"CHAMPLIN, Christopher Grant",Rhode Island,5th Congress (1797-1799),Federalist
"ALLEN, John",Connecticut,5th Congress (1797-1799),Federalist
"WADSWORTH, Peleg",Massachusetts,5th Congress (1797-1799),Federalist
"OTIS, Harrison Gray",Massachusetts,5th Congress (1797-1799),Federalist
"SMITH, Nathaniel",Connecticut,5th Congress (1797-1799),Federalist
"HOSMER, Hezekiah Lord",New York,5th Congress (1797-1799),Federalist
"MORRIS, Lewis Richard",Vermont,5th Congress (1797-1799),Federalist
"VAN ALEN, John Evert",New York,5th Congress (1797-1799),Federalist
"RUTLEDGE, John, Jr.",South Carolina,5th Congress (1797-1799),Federalist
"SEWALL, Samuel",Massachusetts,5th Congress (1797-1799),Federalist
"FOSTER, Dwight",Massachusetts,5th Congress (1797-1799),Federalist
"BRADBURY, Theophilus",Massachusetts,5th Congress (1797-1799),Federalist
"WALN, Robert",Pennsylvania,5th Congress (1797-1799),Federalist
"PARKER, Isaac",Massachusetts,5th Congress (1797-1799),Federalist
"BROOKS, David",New York,5th Congress (1797-1799),Federalist
"COCHRAN, James",New York,5th Congress (1797-1799),Federalist
"GORDON, William",New Hampshire,5th Congress (1797-1799),Federalist
"IMLAY, James Henderson",New Jersey,5th Congress (1797-1799),Federalist
"GLEN, Henry",New York,5th Congress (1797-1799),Federalist
"FOSTER, Abiel",New Hampshire,5th Congress (1797-1799),Federalist
"EDMOND, William",Connecticut,5th Congress (1797-1799),Federalist
"GOODRICH, Chauncey",Connecticut,5th Congress (1797-1799),Federalist
"GRISWOLD, Roger",Connecticut,5th Congress (1797-1799),Federalist
"DANA, Samuel Whittlesey",Connecticut,5th Congress (1797-1799),Federalist
"HINDMAN, William",Maryland,5th Congress (1797-1799),Federalist
"DAVENPORT, James",Connecticut,5th Congress (1797-1799),Federalist
"THACHER, George",Massachusetts,5th Congress (1797-1799),Federalist
"SITGREAVES, Samuel",Pennsylvania,5th Congress (1797-1799),Federalist
"SUMTER, Thomas",South Carolina,6th Congress (1799-1801),Democrat-Republican
"JACKSON, George",Virginia,6th Congress (1799-1801),Democrat-Republican
"CABELL, Samuel Jordan",Virginia,6th Congress (1799-1801),Democrat-Republican
"MACON, Nathaniel",North Carolina,6th Congress (1799-1801),Democrat-Republican
"EGGLESTON, Joseph",Virginia,6th Congress (1799-1801),Democrat-Republican
"CLAY, Matthew",Virginia,6th Congress (1799-1801),Democrat-Republican
"BROWN, Robert",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"CONDIT, John",New Jersey,6th Congress (1799-1801),Democrat-Republican
"STONE, David",North Carolina,6th Congress (1799-1801),Democrat-Republican
"NEW, Anthony",Virginia,6th Congress (1799-1801),Democrat-Republican
"ELMENDORF, Lucas Conrad",New York,6th Congress (1799-1801),Democrat-Republican
"TRIGG, Abram",Virginia,6th Congress (1799-1801),Democrat-Republican
"STEWART, John",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"STANFORD, Richard",North Carolina,6th Congress (1799-1801),Democrat-Republican
"SMILIE, John",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"HOLMES, David",Virginia,6th Congress (1799-1801),Democrat-Republican
"HAVENS, Jonathan Nicoll",New York,6th Congress (1799-1801),Democrat-Republican
"BAILEY, Theodorus",New York,6th Congress (1799-1801),Democrat-Republican
"ALSTON, Willis",North Carolina,6th Congress (1799-1801),Democrat-Republican
"DAWSON, John",Virginia,6th Congress (1799-1801),Democrat-Republican
"GALLATIN, Albert",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"RANDOLPH, John",Virginia,6th Congress (1799-1801),Democrat-Republican
"TRIGG, John Johns",Virginia,6th Congress (1799-1801),Democrat-Republican
"NICHOLAS, John",Virginia,6th Congress (1799-1801),Democrat-Republican
"VARNUM, Joseph Bradley",Massachusetts,6th Congress (1799-1801),Democrat-Republican
"JONES, James",Georgia,6th Congress (1799-1801),Federalist
"LEIB, Michael",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"NICHOLSON, Joseph Hopper",Maryland,6th Congress (1799-1801),Democrat-Republican
"TAZEWELL, Littleton Waller",Virginia,6th Congress (1799-1801),Democrat-Republican
"GRAY, Edwin",Virginia,6th Congress (1799-1801),Democrat-Republican
"SMITH, John",New York,6th Congress (1799-1801),Democrat-Republican
"TALIAFERRO, Benjamin",Georgia,6th Congress (1799-1801),Federalist
"FOWLER, John",Kentucky,6th Congress (1799-1801),Democrat-Republican
"HIESTER, Joseph",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"CHRISTIE, Gabriel",Maryland,6th Congress (1799-1801),Democrat-Republican
"BISHOP, Phanuel",Massachusetts,6th Congress (1799-1801),Democrat-Republican
"GREGG, Andrew",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"WILLIAMS, Robert",North Carolina,6th Congress (1799-1801),Democrat-Republican
"LIVINGSTON, Edward",New York,6th Congress (1799-1801),Democrat-Republican
"CLAIBORNE, William Charles Cole",Tennessee,6th Congress (1799-1801),Democrat-Republican
"HANNA, John Andre",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"LINN, James",New Jersey,6th Congress (1799-1801),Democrat-Republican
"SMITH, Samuel",Maryland,6th Congress (1799-1801),Democrat-Republican
"VAN CORTLANDT, Philip",New York,6th Congress (1799-1801),Democrat-Republican
"KITCHELL, Aaron",New Jersey,6th Congress (1799-1801),Democrat-Republican
"THOMPSON, John",New York,6th Congress (1799-1801),Democrat-Republican
"DAVIS, Thomas Terry",Kentucky,6th Congress (1799-1801),Democrat-Republican
"MUHLENBERG, John Peter Gabriel",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
"LYON, Matthew",Vermont,6th Congress (1799-1801),Democrat-Republican
"PARKER, Josiah",Virginia,6th Congress (1799-1801),Federalist
"SPAIGHT, Richard Dobbs",North Carolina,6th Congress (1799-1801),Democrat-Republican
"GOODE, Samuel",Virginia,6th Congress (1799-1801),Democrat-Republican
"DENT, George",Maryland,6th Congress (1799-1801),Federalist
"GROVE, William Barry",North Carolina,6th Congress (1799-1801),Federalist
"NOTT, Abraham",South Carolina,6th Congress (1799-1801),Federalist
"HUGER, Benjamin",South Carolina,6th Congress (1799-1801),Federalist
"HARTLEY, Thomas",Pennsylvania,6th Congress (1799-1801),Federalist
"HENDERSON, Archibald",North Carolina,6th Congress (1799-1801),Federalist
"HARPER, Robert Goodloe",South Carolina,6th Congress (1799-1801),Federalist
"MARSHALL, John",Virginia,6th Congress (1799-1801),Federalist
"MATTOON, Ebenezer",Massachusetts,6th Congress (1799-1801),Federalist
"PAGE, Robert",Virginia,6th Congress (1799-1801),Federalist
"BAER, George, Jr.",Maryland,6th Congress (1799-1801),Federalist
"HILL, William Henry",North Carolina,6th Congress (1799-1801),Federalist
"DICKSON, Joseph",North Carolina,6th Congress (1799-1801),Federalist
"REED, John",Massachusetts,6th Congress (1799-1801),Federalist
"EVANS, Thomas",Virginia,6th Congress (1799-1801),Federalist
"THOMAS, John Chew",Maryland,6th Congress (1799-1801),Federalist
"BARTLETT, Bailey",Massachusetts,6th Congress (1799-1801),Federalist
"DENNIS, John",Maryland,6th Congress (1799-1801),Federalist
"READ, Nathan",Massachusetts,6th Congress (1799-1801),Federalist
"BIRD, John",New York,6th Congress (1799-1801),Federalist
"TENNEY, Samuel",New Hampshire,6th Congress (1799-1801),Federalist
"THOMAS, Richard",Pennsylvania,6th Congress (1799-1801),Federalist
"KITTERA, John Wilkes",Pennsylvania,6th Congress (1799-1801),Federalist
"POWELL, Leven",Virginia,6th Congress (1799-1801),Federalist
"FREEMAN, Jonathan",New Hampshire,6th Congress (1799-1801),Federalist
"BRACE, Jonathan",Connecticut,6th Congress (1799-1801),Federalist
"PINCKNEY, Thomas",South Carolina,6th Congress (1799-1801),Federalist
"LEE, Henry",Virginia,6th Congress (1799-1801),Federalist
"BAYARD, James Asheton, Sr.",Delaware,6th Congress (1799-1801),Federalist
"LYMAN, Samuel",Massachusetts,6th Congress (1799-1801),Federalist
"SHEPARD, William",Massachusetts,6th Congress (1799-1801),Federalist
"CRAIK, William",Maryland,6th Congress (1799-1801),Federalist
"WOODS, Henry",Pennsylvania,6th Congress (1799-1801),Federalist
"CHAMPLIN, Christopher Grant",Rhode Island,6th Congress (1799-1801),Federalist
"GOODRICH, Elizur",Connecticut,6th Congress (1799-1801),Federalist
"WADSWORTH, Peleg",Massachusetts,6th Congress (1799-1801),Federalist
"OTIS, Harrison Gray",Massachusetts,6th Congress (1799-1801),Federalist
"LEE, Silas",Massachusetts,6th Congress (1799-1801),Federalist
"MORRIS, Lewis Richard",Vermont,6th Congress (1799-1801),Federalist
"RUTLEDGE, John, Jr.",South Carolina,6th Congress (1799-1801),Federalist
"SMITH, John Cotton",Connecticut,6th Congress (1799-1801),Federalist
"SEWALL, Samuel",Massachusetts,6th Congress (1799-1801),Federalist
"FOSTER, Dwight",Massachusetts,6th Congress (1799-1801),Federalist
"WALN, Robert",Pennsylvania,6th Congress (1799-1801),Federalist
"WILLIAMS, Lemuel",Massachusetts,6th Congress (1799-1801),Federalist
"DAVENPORT, John",Connecticut,6th Congress (1799-1801),Federalist
"BROWN, John",Rhode Island,6th Congress (1799-1801),Federalist
"GORDON, William",New Hampshire,6th Congress (1799-1801),Federalist
"IMLAY, James Henderson",New Jersey,6th Congress (1799-1801),Federalist
"GLEN, Henry",New York,6th Congress (1799-1801),Federalist
"FOSTER, Abiel",New Hampshire,6th Congress (1799-1801),Federalist
"EDMOND, William",Connecticut,6th Congress (1799-1801),Federalist
"GOODRICH, Chauncey",Connecticut,6th Congress (1799-1801),Federalist
"COOPER, William",New York,6th Congress (1799-1801),Federalist
"GRISWOLD, Roger",Connecticut,6th Congress (1799-1801),Federalist
"DANA, Samuel Whittlesey",Connecticut,6th Congress (1799-1801),Federalist
"DAVENPORT, Franklin",New Jersey,6th Congress (1799-1801),Federalist
"SHEAFE, James",New Hampshire,6th Congress (1799-1801),Federalist
"SEDGWICK, Theodore",Massachusetts,6th Congress (1799-1801),Federalist
"THACHER, George",Massachusetts,6th Congress (1799-1801),Federalist
"PLATT, Jonas",New York,6th Congress (1799-1801),Federalist
"LINCOLN, Levi",Massachusetts,6th Congress (1799-1801),Democrat-Republican
"SUMTER, Thomas",South Carolina,7th Congress (1801-1803),Democrat-Republican
"JACKSON, George",Virginia,7th Congress (1801-1803),Democrat-Republican
"CABELL, Samuel Jordan",Virginia,7th Congress (1801-1803),Democrat-Republican
"MACON, Nathaniel",North Carolina,7th Congress (1801-1803),Democrat-Republican
"CLAY, Matthew",Virginia,7th Congress (1801-1803),Democrat-Republican
"CLOPTON, John",Virginia,7th Congress (1801-1803),Democrat-Republican
"BUTLER, William",South Carolina,7th Congress (1801-1803),Democrat-Republican
"BROWN, Robert",Pennsylvania,7th Congress (1801-1803),Democrat-Republican
"MOORE, Thomas",South Carolina,7th Congress (1801-1803),Democrat-Republican
"HOLLAND, James",North Carolina,7th Congress (1801-1803),Democrat-Republican
"CONDIT, John",New Jersey,7th Congress (1801-1803),Democrat-Republican
"NEW, Anthony",Virginia,7th Congress (1801-1803),Democrat-Republican
"BRENT, Richard",Virginia,7th Congress (1801-1803),Democrat-Republican
"MERIWETHER, David",Georgia,7th Congress (1801-1803),Democrat-Republican
"ELMENDORF, Lucas Conrad",New York,7th Congress (1801-1803),Democrat-Republican
